duplicate_group_id,relation,group_size,relative_path,sha256,perceptual_hash,threshold
phash:957fd988556b451a,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094628996_2ba67db18f33aa6bf75d2bf34582cb2c.jpg,61f2a16b56f07e990fa83e569ebc4ea6d944a09424d84e7dffc574e36aecec4f,4657050707170321,5
phash:957fd988556b451a,EXACT,2,unlabeled_images/M_0_10_L_0_10_00000.jpg,61f2a16b56f07e990fa83e569ebc4ea6d944a09424d84e7dffc574e36aecec4f,4657050707170321,5
phash:185e74ca5da04b44,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094678086_ccdd5713d59bdeb437045817ae20fa54.jpg,eef7e5a6494a6691dbbc0a3cebe418faded91a64804f0eb6194d366299163c69,010519270f050614,5
phash:185e74ca5da04b44,EXACT,2,unlabeled_images/M_0_10_L_0_10_00001.jpg,eef7e5a6494a6691dbbc0a3cebe418faded91a64804f0eb6194d366299163c69,010519270f050614,5
phash:d5cf8775dc0f8b98,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094725107_874a386639c72d4b6941ed301c7289d1.jpg,8a9100c5052f8ac4bab28af2a5530c59d7dcea83e33aa19154e9251be8101024,0504090907070381,5
phash:d5cf8775dc0f8b98,EXACT,2,unlabeled_images/M_0_10_L_0_10_00002.jpg,8a9100c5052f8ac4bab28af2a5530c59d7dcea83e33aa19154e9251be8101024,0504090907070381,5
phash:d39589b4ec5f1b24,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094770672_592c97b96e3a2a1e1adef0da86c787c6.jpg,8d1c8e57d3b8b8ec853d7c87c41757c8cd317cb44203f84c387729ac8f5d4812,0a00021818220610,5
phash:d39589b4ec5f1b24,EXACT,2,unlabeled_images/M_0_10_L_0_10_00003.jpg,8d1c8e57d3b8b8ec853d7c87c41757c8cd317cb44203f84c387729ac8f5d4812,0a00021818220610,5
phash:ec47c8b5a52ec80d,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094821120_076a229f7f0abec1ccc4daef6977a0fd.jpg,cf59b65f8f92462ba46e47a3bfabeade81bfffb49250c7834bf225e223fe0603,0a08040e0a1a0c0c,5
phash:ec47c8b5a52ec80d,EXACT,2,unlabeled_images/M_0_10_L_0_10_00004.jpg,cf59b65f8f92462ba46e47a3bfabeade81bfffb49250c7834bf225e223fe0603,0a08040e0a1a0c0c,5
phash:c9a90efdca59a223,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094852999_fd9ac792493327c55c368da0ff69bc86.jpg,9bcf850d239e246256242a14f48a4f024a10aef2a705af4a897fb1680ff1c303,301d070d13430b05,5
phash:c9a90efdca59a223,EXACT,2,unlabeled_images/M_0_10_L_0_10_00005.jpg,9bcf850d239e246256242a14f48a4f024a10aef2a705af4a897fb1680ff1c303,301d070d13430b05,5
phash:c5ca4d0dd99354cd,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094901576_151d7c7f5174236f4ce3c22eb6767bd0.jpg,0f4483733e9f848686e9d97f4c1f7b000abed05a6aec432c18e0a43b0c913480,2c0e16260682c070,5
phash:c5ca4d0dd99354cd,EXACT,2,unlabeled_images/M_0_10_L_0_10_00006.jpg,0f4483733e9f848686e9d97f4c1f7b000abed05a6aec432c18e0a43b0c913480,2c0e16260682c070,5
phash:446244e7bede194d,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7.jpg,14db40a67f43712fc0c9fb350da7f29eb8e0c34c4a467f704ff5d507a65c850e,2314061e161f0302,5
phash:446244e7bede194d,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_40_50/L_0_10/alluvial/z5714094952173_37de5e4626cba119a6ebdfab7db38cd7_M_0_10_light_brown.jpg,38b7fe6165afa2a1b315e12b54fd4d1583a9956973c38970a14ea29c50a5257c,2214061f171f1302,5
phash:446244e7bede194d,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_0_10_L_0_10_00007.jpg,14db40a67f43712fc0c9fb350da7f29eb8e0c34c4a467f704ff5d507a65c850e,2314061e161f0302,5
phash:446244e7bede194d,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_40_50_L_0_10_00806.jpg,38b7fe6165afa2a1b315e12b54fd4d1583a9956973c38970a14ea29c50a5257c,2214061f171f1302,5
phash:19bb67e0bcbd5c12,NEAR_OR_EXACT_COMPONENT,5,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8.jpg,0f50b2ad6086a6d3670165499f6469638e2c50afb362759daf6df858dd812c67,131d0d0f07033142,5
phash:19bb67e0bcbd5c12,NEAR_OR_EXACT_COMPONENT,5,Soil_Labeled_Data/M_50_60/L_0_10/alluvial/z5714094985878_be3d0b27ad0ff588c74868cf841a13d8_M_0_10_clayish_red_M_40_50_gray_brown.jpg,dc58899275379b9b05e067ace55662c1f52710858a9722835f6a0675abec9348,031d0d0f0f033142,5
phash:19bb67e0bcbd5c12,NEAR_OR_EXACT_COMPONENT,5,unlabeled_images/aug_02195.jpg,a20400d6441f9075fe583f19fdcf0e59644692a4b28cbeee8ab0c921fdd6a855,031d0d0f0f033142,5
phash:19bb67e0bcbd5c12,NEAR_OR_EXACT_COMPONENT,5,unlabeled_images/M_0_10_L_0_10_00008.jpg,0f50b2ad6086a6d3670165499f6469638e2c50afb362759daf6df858dd812c67,131d0d0f07033142,5
phash:19bb67e0bcbd5c12,NEAR_OR_EXACT_COMPONENT,5,unlabeled_images/M_50_60_L_0_10_01007.jpg,dc58899275379b9b05e067ace55662c1f52710858a9722835f6a0675abec9348,031d0d0f0f033142,5
phash:d7ab328ed292f42f,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095021903_b26a3a815aa064952be57e24cd3e499e.jpg,ecd15648c3282bd93e816398c905ceced86e6af8a0d6b62ac3856964c1187e37,180f170607134127,5
phash:d7ab328ed292f42f,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_70_80/L_0_10/alluvial/z5714095021903_b26a3a815aa064952be57e24cd3e499e_M_0_10_light_brown_M_40_50_gray_brown_M_50_60_clay_red.jpg,d216524fb1266f94f98e4b6e6e330391c9646c515745c1c78f6cd361ba78d89a,180a130207134107,5
phash:d7ab328ed292f42f,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_0_10_L_0_10_00009.jpg,ecd15648c3282bd93e816398c905ceced86e6af8a0d6b62ac3856964c1187e37,180f170607134127,5
phash:d7ab328ed292f42f,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_70_80_L_0_10_01465.jpg,d216524fb1266f94f98e4b6e6e330391c9646c515745c1c78f6cd361ba78d89a,180a130207134107,5
phash:cec8a8fc69bb7ca6,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095067177_c28910a39d05d545c1eb98c0765e3032.jpg,443c72e9db2a4975c17585560d52cc0469ae832bc551ba81d1b41288a633afbe,8c00050f0e0c0108,5
phash:cec8a8fc69bb7ca6,EXACT,2,unlabeled_images/M_0_10_L_0_10_00010.jpg,443c72e9db2a4975c17585560d52cc0469ae832bc551ba81d1b41288a633afbe,8c00050f0e0c0108,5
phash:3a114ea23a2061df,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095113548_cc43f0b7634b8ff50927d9450139c615.jpg,ef382e414c158187fee6c71a556b65026987991acaf3b76870a310893d4fb4d1,82616222030b4200,5
phash:3a114ea23a2061df,EXACT,2,unlabeled_images/M_0_10_L_0_10_00011.jpg,ef382e414c158187fee6c71a556b65026987991acaf3b76870a310893d4fb4d1,82616222030b4200,5
phash:3518db25dfcb5ad3,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095161888_3d5bfbb45a821c7b8a0a0889e60fa9e1.jpg,bf2694232084c5ca73fa992c1ab4463c7514a2adeda12dedd1075eb0c678a980,2044352615040028,5
phash:3518db25dfcb5ad3,EXACT,2,unlabeled_images/M_0_10_L_0_10_00012.jpg,bf2694232084c5ca73fa992c1ab4463c7514a2adeda12dedd1075eb0c678a980,2044352615040028,5
phash:aa41fb94cfc83ebf,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095210827_634539ecd685150ff3660fcd3aeaba39.jpg,88d69e472ecb82bab060ed09cc7d479a91b2ee80a7eb6ce998496e0bb08642d8,a809120709090980,5
phash:aa41fb94cfc83ebf,EXACT,2,unlabeled_images/M_0_10_L_0_10_00013.jpg,88d69e472ecb82bab060ed09cc7d479a91b2ee80a7eb6ce998496e0bb08642d8,a809120709090980,5
phash:440a1b975a38413a,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095260255_b51937d8a08f97df48bdb2b7523244c9.jpg,02eeadcbbf08f2d3d97aa78f26e58b5fd57bd6aa1302151008abd56ab5ee8db0,0d2a8a4b56141648,5
phash:440a1b975a38413a,EXACT,2,unlabeled_images/M_0_10_L_0_10_00014.jpg,02eeadcbbf08f2d3d97aa78f26e58b5fd57bd6aa1302151008abd56ab5ee8db0,0d2a8a4b56141648,5
phash:683b3afd6f50c6e5,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095305860_8fcfcdc68bae463b97e0c9cb89c8dbdd.jpg,b2f8adec7b0a6892f99747f3f984285ff5e0e8addb7179fd8df2d7f9fef7dfcf,441d144c88082490,5
phash:683b3afd6f50c6e5,EXACT,2,unlabeled_images/M_0_10_L_0_10_00015.jpg,b2f8adec7b0a6892f99747f3f984285ff5e0e8addb7179fd8df2d7f9fef7dfcf,441d144c88082490,5
phash:43eb2bc58c1ed2f1,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095361298_5b8521f71b6051a784c85bd3550ccbe0.jpg,263011d7a34702c9b8b64b3eb97f4b2b42f8e24077e5e5a1dccd3664b4402b76,82061607030684d0,5
phash:43eb2bc58c1ed2f1,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_60_70/L_0_10/alluvial/z5714095361298_5b8521f71b6051a784c85bd3550ccbe0_M_0_10_pale_yellow_M_40_50_gray_brown.jpg,568694cbcc12859498a52307cb62a35a3fe93ac1bb247cdd3f3ba7b15501e7a7,8a06060703060490,5
phash:43eb2bc58c1ed2f1,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_0_10_L_0_10_00016.jpg,263011d7a34702c9b8b64b3eb97f4b2b42f8e24077e5e5a1dccd3664b4402b76,82061607030684d0,5
phash:43eb2bc58c1ed2f1,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_60_70_L_0_10_01246.jpg,568694cbcc12859498a52307cb62a35a3fe93ac1bb247cdd3f3ba7b15501e7a7,8a06060703060490,5
phash:2625026fa96c1b6d,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095397323_3ba8d5731fe9ad72ecd36a4f5fe55be2.jpg,a42af59864e5be74d8d54cf25ef0a4b0feab4e5e4044ea22a4bdc07eaeec9080,8c0d1f0d58100212,5
phash:2625026fa96c1b6d,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/aug_01396.jpg,c7fc9ddf25e6588f237c53d84d17c9bcbada4e8eddb31f8d85eb83f1db8a5728,8c0d0f0d18100212,5
phash:2625026fa96c1b6d,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/aug_01397.jpg,c7fc9ddf25e6588f237c53d84d17c9bcbada4e8eddb31f8d85eb83f1db8a5728,8c0d0f0d18100212,5
phash:2625026fa96c1b6d,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_0_10_L_0_10_00017.jpg,a42af59864e5be74d8d54cf25ef0a4b0feab4e5e4044ea22a4bdc07eaeec9080,8c0d1f0d58100212,5
phash:69366b599405bb96,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095443955_4462fea6d31af758e0d1027ff26c48bf.jpg,497014270423cb54f81f4b27e08dcabc3c8d6c579269bd9ecc7c2250e5a08179,420f9f1ea6424480,5
phash:69366b599405bb96,EXACT,2,unlabeled_images/M_0_10_L_0_10_00018.jpg,497014270423cb54f81f4b27e08dcabc3c8d6c579269bd9ecc7c2250e5a08179,420f9f1ea6424480,5
phash:ec938c7997f99a90,EXACT,2,Soil_Labeled_Data/M_0_10/L_0_10/alluvial/z5714095489034_176c03ba900d1a0940308cd7513b0794.jpg,f9653a6457c9d9b5b2e2e8c2027fe02c86f4eb866bd6783e996632bd41d480a8,9008029611444080,5
phash:ec938c7997f99a90,EXACT,2,unlabeled_images/M_0_10_L_0_10_00019.jpg,f9653a6457c9d9b5b2e2e8c2027fe02c86f4eb866bd6783e996632bd41d480a8,9008029611444080,5
phash:432c8ed6a163119e,NEAR_OR_EXACT_COMPONENT,5,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0007.JPG,8ec3f8cf1867bd9220e6ce235466a06b97ae53f66decc7412e487d12926c8f49,d34f6b066e3b0d2d,5
phash:432c8ed6a163119e,NEAR_OR_EXACT_COMPONENT,5,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0007_M_0_10_clayish_red.jpg,a65aa57d11e39ce1207aff3136853461900606a510faf9feddc124c0e18ba08c,db4f69066e3b0d2d,5
phash:432c8ed6a163119e,NEAR_OR_EXACT_COMPONENT,5,Soil_Labeled_Data/M_50_60/L_10_20/alluvial/IMG_0007_M_0_10_clayish_red_M_40_50_light_brown.jpg,fef96c3f618185a112157f8700c5ee6002cd97fda21c5436a9acd858aef95ab3,d34f69066e3b0d2d,5
phash:432c8ed6a163119e,NEAR_OR_EXACT_COMPONENT,5,unlabeled_images/m_40_50_l_10_20_00819_optimized.jpg,09874ce8b4972cbfc3de4f2ee4e65455de22e7181300ecd4424ae0d0c5746bcd,d34f69066e3b0d2d,5
phash:432c8ed6a163119e,NEAR_OR_EXACT_COMPONENT,5,unlabeled_images/M_50_60_L_10_20_01019.jpg,fef96c3f618185a112157f8700c5ee6002cd97fda21c5436a9acd858aef95ab3,d34f69066e3b0d2d,5
phash:41a7248972494349,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0009.JPG,31260284a6d1fcad8e660a56967cba2842b52c82ae84163f078fd3c698862e1f,7ba71f0f0f033b17,5
phash:41a7248972494349,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0009_M_0_10_gray_brown.jpg,529108cb5922aafd84eb85f57f609a2b7f70e9433fb0755d6efcc444909cc999,7ba71f0f0f033b17,5
phash:41a7248972494349,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/M_40_50_L_10_20_00820.jpg,529108cb5922aafd84eb85f57f609a2b7f70e9433fb0755d6efcc444909cc999,7ba71f0f0f033b17,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0012.JPG,c6413a0ee8f4d7c5fa7967b47dacfb294c85d120a9108c5ecf4b12572b163a51,450b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,Soil_Labeled_Data/M_50_60/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_light_brown.jpg,7272c9644f5de4bc93568a8bf99f3162f5480f2353d2efcfc0d2d4debfe8694f,47034723054f3746,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,Soil_Labeled_Data/M_60_70/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_gray_brown.jpg,ae2eaf80dd7b697348a822211dce88869e7a7db593c1d8ee35c95415bbfb68ef,450b4723054b2766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,Soil_Labeled_Data/M_80_90/L_10_20/alluvial/IMG_0012_M_0_10_clayish_red_M_40_50_gray_brown_M_60_70_wet_gray.jpg,3d19dea615d66d6edc663eaa0860046b1121a8e0e195cc59697d0245f68f45e8,45034723054d2766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/aug_03075.jpg,2a7f42fb3d04c649c99523d7f48ebab6978b4861320c165ecde24ef0c6c9e59d,470b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/aug_03076.jpg,2a7f42fb3d04c649c99523d7f48ebab6978b4861320c165ecde24ef0c6c9e59d,470b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/aug_03077.jpg,2a7f42fb3d04c649c99523d7f48ebab6978b4861320c165ecde24ef0c6c9e59d,470b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/aug_03078.jpg,2a7f42fb3d04c649c99523d7f48ebab6978b4861320c165ecde24ef0c6c9e59d,470b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/aug_03079.jpg,2a7f42fb3d04c649c99523d7f48ebab6978b4861320c165ecde24ef0c6c9e59d,470b4723054b3766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/M_50_60_L_10_20_01020.jpg,7272c9644f5de4bc93568a8bf99f3162f5480f2353d2efcfc0d2d4debfe8694f,47034723054f3746,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/M_60_70_L_10_20_01257.jpg,ae2eaf80dd7b697348a822211dce88869e7a7db593c1d8ee35c95415bbfb68ef,450b4723054b2766,5
phash:036bd561c9affbf4,NEAR_OR_EXACT_COMPONENT,12,unlabeled_images/M_80_90_L_10_20_01677.jpg,3d19dea615d66d6edc663eaa0860046b1121a8e0e195cc59697d0245f68f45e8,45034723054d2766,5
phash:48f6918d6268138f,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0013.JPG,37f9a48fc0b985359c1bd63f7576f940ad308fa09245424d9200c2a3f2562c8f,373b17671b1101cd,5
phash:48f6918d6268138f,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0013_M_0_10_clayish_red.jpg,79ea184c105e15024dd64004f77af0aebf7f4869abfbc4601a4b53fdc64329cd,373b13671b1101cd,5
phash:48f6918d6268138f,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/M_40_50_L_10_20_00821.jpg,79ea184c105e15024dd64004f77af0aebf7f4869abfbc4601a4b53fdc64329cd,373b13671b1101cd,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0014.JPG,b2d9045d6e9f3d752c2ceff148f6d7b4fac431c6f6f20bf3738466cf9aef4185,0a25191f1974b119,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0014_M_0_10_pale_yellow.jpg,50a1217020b01ebb31b6f1d34746f279dd68f3154b0968bd0c4eaef164d9c028,0a25191f1974b119,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_60_70/L_10_20/alluvial/IMG_0014_M_0_10_light_brown_M_40_50_gray_brown.jpg,4cd796814fac64eed464f16b486eeb7c266c9ddb92ed7f370f7a07735bd61ec0,0a25191b1974b119,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_80_90/L_10_20/alluvial/IMG_0014_M_0_10_light_brown_M_40_50_gray_brown_M_50_60_gray_brown_M_60_70_wet_gray.jpg,3b4901a69e916a384765dabee34bc6b94802f3d8d21f3986fe3a95718f86d22e,0a24191b1564b109,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_80_90/L_10_20/alluvial/IMG_0014_M_0_10_light_brown_M_40_50_gray_brown_M_60_70_clay_red.jpg,3a81550746e31f1da11db60790987233ec565f064d378172d6e41a8f627bec35,0224191b1960b109,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_40_50_L_10_20_00822.jpg,50a1217020b01ebb31b6f1d34746f279dd68f3154b0968bd0c4eaef164d9c028,0a25191f1974b119,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_60_70_L_10_20_01258.jpg,4cd796814fac64eed464f16b486eeb7c266c9ddb92ed7f370f7a07735bd61ec0,0a25191b1974b119,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_80_90_L_10_20_01678.jpg,3b4901a69e916a384765dabee34bc6b94802f3d8d21f3986fe3a95718f86d22e,0a24191b1564b109,5
phash:28ae9471e98b75c2,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_80_90_L_10_20_01679.jpg,3a81550746e31f1da11db60790987233ec565f064d378172d6e41a8f627bec35,0224191b1960b109,5
phash:50f54d5c2b51e8f5,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0015.JPG,244ffa963550d7b89875fc98cb1aca12401b981c5c84c0a0e5278cadd04b930a,18095b1b06020306,5
phash:50f54d5c2b51e8f5,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0015_M_0_10_gray_brown.jpg,f33a29b3e152814750acfb399e7a6ae3554b9e3d83172b3c23f8f554ba8eb468,18095b5b06120306,5
phash:50f54d5c2b51e8f5,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/M_40_50_L_10_20_00823.jpg,f33a29b3e152814750acfb399e7a6ae3554b9e3d83172b3c23f8f554ba8eb468,18095b5b06120306,5
phash:7529af5f13d5be22,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0016.JPG,87085e8fb44485b8dd2563088a709c1622a4424b6b177297c8f79a6a927b2c0a,0a1b1237521b0125,5
phash:7529af5f13d5be22,NEAR_OR_EXACT_COMPONENT,3,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0016_M_0_10_gray_brown.jpg,d70c4c91279311dfa2d1079962c367536f180993a65398b5695ecdd16cc65a1c,8a1b1237521b0125,5
phash:7529af5f13d5be22,NEAR_OR_EXACT_COMPONENT,3,unlabeled_images/M_40_50_L_10_20_00824.jpg,d70c4c91279311dfa2d1079962c367536f180993a65398b5695ecdd16cc65a1c,8a1b1237521b0125,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0017.JPG,51979befd4ad679ae732ffc04ac6939984f31e01c34692f5a21f4c6c065e144b,4b518fcd11094b50,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_60_70/L_10_20/alluvial/IMG_0017_M_0_10_gray_brown_M_40_50_gray_brown.jpg,5f149feebda9269236743a490d51ea7b0a4609cc335fb2879c63ee1b11cd6391,4b138f8d11094b50,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,Soil_Labeled_Data/M_80_90/L_10_20/alluvial/IMG_0017_M_0_10_gray_brown_M_40_50_gray_brown_M_60_70_wet_gray.jpg,39e3771c0dcb0fc2053810de868fd8b6363725081468bcfb1e7314f009e26764,41118b8d11094b50,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/aug_00076.jpg,b66f1e89f9d0491ec985cc92c1a65a9abf7256a8ab35f243a15bea3df17d9082,4a118d8d10094950,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/aug_00077.jpg,b66f1e89f9d0491ec985cc92c1a65a9abf7256a8ab35f243a15bea3df17d9082,4a118d8d10094950,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/aug_00078.jpg,b66f1e89f9d0491ec985cc92c1a65a9abf7256a8ab35f243a15bea3df17d9082,4a118d8d10094950,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_0_10_L_10_20_00030.jpg,51979befd4ad679ae732ffc04ac6939984f31e01c34692f5a21f4c6c065e144b,4b518fcd11094b50,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_60_70_L_10_20_01259.jpg,5f149feebda9269236743a490d51ea7b0a4609cc335fb2879c63ee1b11cd6391,4b138f8d11094b50,5
phash:282a7261d87da92b,NEAR_OR_EXACT_COMPONENT,9,unlabeled_images/M_80_90_L_10_20_01680.jpg,39e3771c0dcb0fc2053810de868fd8b6363725081468bcfb1e7314f009e26764,41118b8d11094b50,5
phash:fc26f4c6b88e93b6,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0018.JPG,57b8d59ed0afd7779e5dff39568fc732e77e1142abfdb745078758f0cde29334,3d29130707030723,5
phash:fc26f4c6b88e93b6,NEAR_OR_EXACT_COMPONENT,4,Soil_Labeled_Data/M_50_60/L_10_20/alluvial/IMG_0018_M_0_10_light_brown_M_40_50_light_brown.jpg,58c86c3316854ead87f34ca224376cccb49de9a106572444d6576128e9a393ab,3429130707030723,5
phash:fc26f4c6b88e93b6,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_0_10_L_10_20_00031.jpg,57b8d59ed0afd7779e5dff39568fc732e77e1142abfdb745078758f0cde29334,3d29130707030723,5
phash:fc26f4c6b88e93b6,NEAR_OR_EXACT_COMPONENT,4,unlabeled_images/M_50_60_L_10_20_01021.jpg,58c86c3316854ead87f34ca224376cccb49de9a106572444d6576128e9a393ab,3429130707030723,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0019.JPG,3a6337fae7c3aa2f739274976d72968052fbbc026871c1035cf6e20d548786b1,1b17073738111311,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,Soil_Labeled_Data/M_40_50/L_10_20/alluvial/IMG_0019_M_0_10_pale_yellow.jpg,bc525a6a50675ade00c8b0ee1d730c79227cb5727d3b28d62d49639dfb35ede8,1b17073738111311,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,unlabeled_images/aug_02961.jpg,c74d6bdd1295caf3714cde286793aa6070a74864602689acac32ee53058330ea,1917073738111311,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,unlabeled_images/aug_02962.jpg,c74d6bdd1295caf3714cde286793aa6070a74864602689acac32ee53058330ea,1917073738111311,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,unlabeled_images/M_0_10_L_10_20_00032.jpg,3a6337fae7c3aa2f739274976d72968052fbbc026871c1035cf6e20d548786b1,1b17073738111311,5
phash:5c15da2b7184a2e6,NEAR_OR_EXACT_COMPONENT,6,unlabeled_images/M_40_50_L_10_20_00825.jpg,bc525a6a50675ade00c8b0ee1d730c79227cb5727d3b28d62d49639dfb35ede8,1b17073738111311,5
phash:f1003d56888b2b50,EXACT,2,Soil_Labeled_Data/M_0_10/L_10_20/alluvial/IMG_0020.JPG,e479cfdf743b280c473f98ccc23eb67671bfee773eb5d78fee67de27d05f6b07,008023156d664b91,5
